Subphylum;Order;Suborder;Family;Subfamily;Genus;Species;Morphospecies;Species_old_name;Diet;Site;Sampling;Day;Tree;Square;Treatment;Abundance;
Chelicerata;Araneae;;;;;;Jspider_E;Jspider E;pred;DO;A;01.07.2017;C8;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_E;Jspider E;pred;DO;B;06.05.2017;F23;i;w;1;
Chelicerata;Araneae;;;;;;Jspider_E;Jspider E;pred;ER;B;10.05.2017;V2;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_F;Jspider F;pred;DO;B;03.05.2017;B18;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_F;Jspider F;pred;DO;B;03.05.2017;B8;ii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_F;Jspider F;pred;CP;B;01.05.2017;C6;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_F;Jspider F;pred;DO;B;06.05.2017;D18;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_F;Jspider F;pred;DO;B;06.05.2017;D18;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_F;Jspider F;pred;CP;B;05.05.2017;D2;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_F;Jspider F;pred;DO;A;01.07.2017;E11;iii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_F;Jspider F;pred;DO;B;12.05.2017;G2;i;wr;1;
Chelicerata;Araneae;;;;;;Jspider_F;Jspider F;pred;ER;B;07.05.2017;G5;iv;wr;1;
Chelicerata;Araneae;;;;;;Jspider_F;Jspider F;pred;DO;A;13.07.2017;H15;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_F;Jspider F;pred;DO;B;20.05.2017;H15;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_F;Jspider F;pred;DO;B;20.05.2017;H9;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_F;Jspider F;pred;CP;B;13.05.2017;I2;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_F;Jspider F;pred;CP;B;05.05.2017;I7;i;w;1;
Chelicerata;Araneae;;;;;;Jspider_F;Jspider F;pred;ER;B;10.05.2017;U1;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_F;Jspider F;pred;ER;B;10.05.2017;V2;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;03.05.2017;A10;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;ER;B;19.05.2017;AH4;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;03.05.2017;B16;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;03.05.2017;B20;i;w;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;A;01.07.2017;B9;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;A;01.07.2017;C16;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;06.05.2017;C16;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;12.05.2017;D19;iv;w;2;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;12.05.2017;D5;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;A;01.07.2017;D7;iii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;ER;B;02.05.2017;F1;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;17.05.2017;F10;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;17.05.2017;F16;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;A;10.07.2017;F3;iii;wo;4;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;A;06.07.2017;G11;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;A;10.07.2017;G14;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;17.05.2017;G19;iv;w;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;CP;A;11.07.2017;G3;iv;wr;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;CP;B;18.05.2017;G3;iii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;CP;B;18.05.2017;G3;iv;wr;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;A;06.07.2017;G3;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;CP;B;18.05.2017;G5;i;wr;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;CP;B;18.05.2017;G7;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;20.05.2017;H18;i;w;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;20.05.2017;H18;iv;w;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;ER;A;02.07.2017;H6;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;20.05.2017;H7;i;wr;2;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;20.05.2017;H7;iii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;20.05.2017;I1;i;w;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;A;13.07.2017;I21;iii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;20.05.2017;I21;ii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;20.05.2017;I21;iii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;CP;B;18.05.2017;I3;ii;w;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;CP;B;13.05.2017;I4;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;DO;B;20.05.2017;I4;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_G;Jspider G;pred;ER;A;08.07.2017;M7;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_H;Jspider H;pred;DO;A;26.06.2017;B8;ii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_H;Jspider H;pred;CP;B;05.05.2017;D1;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_H;Jspider H;pred;DO;A;06.07.2017;D19;ii;w;1;
Chelicerata;Araneae;;;;;;Jspider_H;Jspider H;pred;CP;B;05.05.2017;E1;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_H;Jspider H;pred;DO;B;06.05.2017;E11;i;wr;1;
Chelicerata;Araneae;;;;;;Jspider_H;Jspider H;pred;DO;B;17.05.2017;G14;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_H;Jspider H;pred;DO;A;06.07.2017;G6;i;wr;1;
Chelicerata;Araneae;;;;;;Jspider_I;Jspider I;pred;CP;B;05.05.2017;D2;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_I;Jspider I;pred;CP;B;05.05.2017;E1;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_I;Jspider I;pred;CP;B;05.05.2017;E1;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_I;Jspider I;pred;CP;B;05.05.2017;E1;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_I;Jspider I;pred;CP;A;04.07.2017;F1;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_I;Jspider I;pred;CP;A;04.07.2017;F1;iv;wo;2;
Chelicerata;Araneae;;;;;;Jspider_I;Jspider AM;pred;ER;A;02.07.2017;G7;ii;w;1;
Chelicerata;Araneae;;;;;;Jspider_I;Jspider I;pred;ER;B;07.05.2017;H6;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_I;Jspider I;pred;CP;B;18.05.2017;I3;i;w;1;
Chelicerata;Araneae;;;;;;Jspider_I;Jspider I;pred;DO;A;13.07.2017;I4;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_I;Jspider AM;pred;CP;A;07.07.2017;J4;i;w;1;
Chelicerata;Araneae;;;;;;Jspider_I;Jspider I;pred;CP;A;04.07.2017;J6;iii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_I;Jspider I;pred;CP;B;09.05.2017;J8;i;wr;1;
Chelicerata;Araneae;;;;;;Jspider_I;Jspider AM;pred;ER;A;08.07.2017;S11;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_I;Jspider I;pred;ER;A;05.07.2017;U1;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_J;Jspider J;pred;ER;B;02.05.2017;B1;ii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_J;Jspider J;pred;CP;B;05.05.2017;D2;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_J;Jspider J;pred;DO;B;12.05.2017;G3;ii;w;1;
Chelicerata;Araneae;;;;;;Jspider_J;Jspider J;pred;DO;B;12.05.2017;G3;iii;w;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;CP;B;18.05.2017;A10;iii;wo;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;CP;A;11.07.2017;A8;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;ER;B;19.05.2017;AH3;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;DO;B;06.05.2017;C16;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;DO;B;12.05.2017;D11;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;DO;B;12.05.2017;D5;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;CP;A;29.06.2017;E1;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;CP;A;24.06.2017;E2;iv;wr;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider CK;pred;DO;A;06.07.2017;E3;iv;wo;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;ER;A;02.07.2017;E7;iv;w;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;DO;B;17.05.2017;G13;iii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;ER;B;07.05.2017;G18;i;wo;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;CP;B;18.05.2017;G3;i;wr;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;CP;B;18.05.2017;G5;ii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;DO;B;20.05.2017;G9;i;wo;2;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;DO;B;20.05.2017;H18;iv;w;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;DO;B;17.05.2017;H6;ii;wr;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;DO;B;20.05.2017;I21;iv;wr;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;CP;A;07.07.2017;J4;iv;w;1;
Chelicerata;Araneae;;;;;;Jspider_K;Jspider K;pred;CP;B;13.05.2017;J4;iv;w;1;
